'type','encrun','retrun','jit','Word','score','Response','RAWONSET','RT','subject','otherResps','ONSETtr','jit','enctype'
0,5,5,2500,'PLATFORM',3,22,16505,791,'y1004','',5.25E+00,2500,5
1,2,5,2500,'INCOME',3,22,21505,772,'y1004','',7.75E+00,2500,1
1,4,5,2500,'FLESH',2,2,26504,1358,'y1004','',1.03E+01,2500,3
2,7,5,1500,'ADVANTAGE',1,22,31505,807,'y1004','',1.28E+01,1500,0
0,5,5,2000,'CENT',2,2,35504,568,'y1004','',1.48E+01,2000,5
2,7,5,2500,'REVOLUTION',1,22,40005,818,'y1004','',1.70E+01,2500,0
0,3,5,1500,'HEAT',3,22,45004,729,'y1004','',1.95E+01,1500,3
1,4,5,1500,'SKY',2,2,49004,794,'y1004','',2.15E+01,1500,3
2,7,5,2000,'TOUCH',1,22,53004,2084,'y1004','',2.35E+01,2000,0
0,2,5,2000,'EAST',2,2,57504,830,'y1004','',2.58E+01,2000,1
1,3,5,2000,'WALL',99,0,62004,Inf,'y1004','',2.80E+01,2000,3
2,7,5,2500,'COMMAND',1,22,66505,1054,'y1004','',3.03E+01,2500,0
1,5,5,1500,'RAIN',3,22,71504,1055,'y1004','',3.28E+01,1500,5
1,6,5,2000,'NARROW',2,2,75505,940,'y1004','',3.48E+01,2000,5
0,2,5,1500,'ECONOMY',3,22,80005,960,'y1004','',3.70E+01,1500,1
2,7,5,2500,'WALK',2,2,84004,816,'y1004','',3.90E+01,2500,0
0,4,5,3000,'BABY',3,22,89004,776,'y1004','',4.15E+01,3000,3
2,7,5,1500,'APPROVAL',1,22,94505,2046,'y1004','',4.43E+01,1500,0
1,5,5,2000,'JOB',2,2,98504,1822,'y1004','',4.63E+01,2000,5
2,7,5,2000,'CATTLE',1,22,103004,1307,'y1004','',4.85E+01,2000,0
0,4,5,1500,'BRILLIANT',2,2,107505,2367,'y1004','',5.08E+01,1500,3
